DateTime,Date,Hour,Day of the Week,Season,Daytime,Consumption (kW)
02/03/2021 13:45,02/03/2021,13:45:00,1,1,1,0.388
02/03/2021 14:00,02/03/2021,14:00:00,1,1,1,0.344
02/03/2021 14:15,02/03/2021,14:15:00,1,1,1,0.548
02/03/2021 14:30,02/03/2021,14:30:00,1,1,1,2.28
02/03/2021 14:45,02/03/2021,14:45:00,1,1,1,0.824
02/03/2021 15:00,02/03/2021,15:00:00,1,1,1,0.168
02/03/2021 15:15,02/03/2021,15:15:00,1,1,1,0.176
02/03/2021 15:30,02/03/2021,15:30:00,1,1,1,0.204
02/03/2021 15:45,02/03/2021,15:45:00,1,1,1,0.304
02/03/2021 16:00,02/03/2021,16:00:00,1,1,1,0.256
02/03/2021 16:15,02/03/2021,16:15:00,1,1,1,0.272
02/03/2021 16:30,02/03/2021,16:30:00,1,1,1,0.244
02/03/2021 16:45,02/03/2021,16:45:00,1,1,1,0.124
02/03/2021 17:00,02/03/2021,17:00:00,1,1,1,0.076
02/03/2021 17:15,02/03/2021,17:15:00,1,1,1,0.1
02/03/2021 17:30,02/03/2021,17:30:00,1,1,1,0.12
02/03/2021 17:45,02/03/2021,17:45:00,1,1,1,0.084
02/03/2021 18:00,02/03/2021,18:00:00,1,1,1,0.084
02/03/2021 18:15,02/03/2021,18:15:00,1,1,1,0.2
02/03/2021 18:30,02/03/2021,18:30:00,1,1,1,0.236
02/03/2021 18:45,02/03/2021,18:45:00,1,1,0,0.192
02/03/2021 19:00,02/03/2021,19:00:00,1,1,0,0.156
02/03/2021 19:15,02/03/2021,19:15:00,1,1,0,0.212
02/03/2021 19:30,02/03/2021,19:30:00,1,1,0,0.3
02/03/2021 19:45,02/03/2021,19:45:00,1,1,0,0.492
02/03/2021 20:00,02/03/2021,20:00:00,1,1,0,0.212
02/03/2021 20:15,02/03/2021,20:15:00,1,1,0,0.256
02/03/2021 20:30,02/03/2021,20:30:00,1,1,0,0.188
02/03/2021 20:45,02/03/2021,20:45:00,1,1,0,0.148
02/03/2021 21:00,02/03/2021,21:00:00,1,1,0,0.176
02/03/2021 21:15,02/03/2021,21:15:00,1,1,0,0.248
02/03/2021 21:30,02/03/2021,21:30:00,1,1,0,0.396
02/03/2021 21:45,02/03/2021,21:45:00,1,1,0,0.244
02/03/2021 22:00,02/03/2021,22:00:00,1,1,0,0.248
02/03/2021 22:15,02/03/2021,22:15:00,1,1,0,0.224
02/03/2021 22:30,02/03/2021,22:30:00,1,1,0,0.136
02/03/2021 22:45,02/03/2021,22:45:00,1,1,0,0.112
02/03/2021 23:00,02/03/2021,23:00:00,1,1,0,0.132
02/03/2021 23:15,02/03/2021,23:15:00,1,1,0,0.168
02/03/2021 23:30,02/03/2021,23:30:00,1,1,0,0.24
02/03/2021 23:45,02/03/2021,23:45:00,1,1,0,0.28
03/03/2021 00:00,03/03/2021,00:00:00,2,1,0,0.216
03/03/2021 00:15,03/03/2021,00:15:00,2,1,0,0.144
03/03/2021 00:30,03/03/2021,00:30:00,2,1,0,0.06
03/03/2021 00:45,03/03/2021,00:45:00,2,1,0,0.04
03/03/2021 01:00,03/03/2021,01:00:00,2,1,0,0.112
03/03/2021 01:15,03/03/2021,01:15:00,2,1,0,0.148
03/03/2021 01:30,03/03/2021,01:30:00,2,1,0,0.12
03/03/2021 01:45,03/03/2021,01:45:00,2,1,0,0.092
03/03/2021 02:00,03/03/2021,02:00:00,2,1,0,0.092
03/03/2021 02:15,03/03/2021,02:15:00,2,1,0,0.06
03/03/2021 02:30,03/03/2021,02:30:00,2,1,0,0.048
03/03/2021 02:45,03/03/2021,02:45:00,2,1,0,0.104
03/03/2021 03:00,03/03/2021,03:00:00,2,1,0,0.16
03/03/2021 03:15,03/03/2021,03:15:00,2,1,0,0.116
03/03/2021 03:30,03/03/2021,03:30:00,2,1,0,0.052
03/03/2021 03:45,03/03/2021,03:45:00,2,1,0,0.076
03/03/2021 04:00,03/03/2021,04:00:00,2,1,0,0.072
03/03/2021 04:15,03/03/2021,04:15:00,2,1,0,0.04
03/03/2021 04:30,03/03/2021,04:30:00,2,1,0,0.068
03/03/2021 04:45,03/03/2021,04:45:00,2,1,0,0.16
03/03/2021 05:00,03/03/2021,05:00:00,2,1,0,0.128
03/03/2021 05:15,03/03/2021,05:15:00,2,1,0,0.06
03/03/2021 05:30,03/03/2021,05:30:00,2,1,0,0.052
03/03/2021 05:45,03/03/2021,05:45:00,2,1,0,0.084
03/03/2021 06:00,03/03/2021,06:00:00,2,1,0,0.052
03/03/2021 06:15,03/03/2021,06:15:00,2,1,0,0.04
03/03/2021 06:30,03/03/2021,06:30:00,2,1,0,0.136
03/03/2021 06:45,03/03/2021,06:45:00,2,1,0,0.152
03/03/2021 07:00,03/03/2021,07:00:00,2,1,0,0.092
03/03/2021 07:15,03/03/2021,07:15:00,2,1,1,0.04
03/03/2021 07:30,03/03/2021,07:30:00,2,1,1,0.076
03/03/2021 07:45,03/03/2021,07:45:00,2,1,1,0.072
03/03/2021 08:00,03/03/2021,08:00:00,2,1,1,0.04
03/03/2021 08:15,03/03/2021,08:15:00,2,1,1,0.056
